Question,Answer
What's PowerScale?,PowerScale hybrid storage platforms powered by the OneFS operating system use a versatile yet simple scale-out architecture to speed access to massive amounts of data. The highly flexible hybrid platforms strike the balance between large capacity and high-performance storage to provide support for a broad range of enterprise file workloads.
What's OneFS Group Management Protocol?,"Cluster coherence and quorum is handled by OneFS Group Management Protocol (GMP). The GMP is built on several distributed algorithms and strictly adheres to Brewer’s Theorem, which states that it is impossible for a distributed computer system to simultaneously guarantee all three of the following; consistency, availability and partition tolerance. The group management protocol keeps track of the state of all the nodes and drives that are considered part of the cluster. Whenever devices are added or removed from the cluster, a group change is broadcast, the group ID is incremented, and any uncommitted journal write transactions are resolved. "
How to decide the file layout of OneFS?,The way data is laid out across the nodes and their respective disks in a cluster is fundamental to OneFS functionality. The layout decisions are made by the BAM on the node that initiated a particular write operation using 2PC. The BAM Safe Write (BSW) code takes the cluster group information from GMP and the desired protection policy for the file and makes an informed decision on where best to write the data blocks to ensure the file is properly protected. 
What's the usage of Automatic Provisioning?,"With Automatic Provisioning, every set of equivalent node hardware is automatically divided into node pools comprising up to forty nodes and six drives per node. These node pools are protected by default at +2d:1n, and multiple pools can then be combined into logical tiers and managed using SmartPools file pool policies."
What's Node Pools?,"Node Pools are groups of Disk Pools, spread across similar storage nodes (compatibility classes). Multiple groups of different node types can work together in a single, heterogeneous cluster. "
What is Data Integrity?,"Data Integrity (IDI) is the OneFS process that protects file system structures against corruption via 32-bit CRC checksums. All OneFS file system blocks utilize checksum verification. Metadata checksums are housed in the metadata blocks themselves, whereas file data checksums are stored as metadata, thereby providing referential integrity. All checksums are recomputed by the initiator, the node servicing a particular read, on every request."
What is MediaScan?,"MediaScan’s role within OneFS is to check disk sectors and deploy the above DSR mechanism in order to force disk drives to fix any sector ECC errors they may encounter. Implemented as one of the phases of the OneFS job engine, MediaScan is run automatically based on a predefined schedule."
What is IntegrityScan?,"IntegrityScan, another component of the OneFS job engine, is responsible for examining the entire file system for inconsistencies. It does this by systematically reading every block and verifying its associated checksum. "
How does Rolling upgrade work?,"A rolling upgrade individually upgrades and restarts each node in the cluster sequentially. During a rolling upgrade, the cluster remains online and continues serving data to clients with no interruption in service."
How do Non-disruptive Upgrades work?,"Non-disruptive upgrades (NDUs) allow a cluster administrator to upgrade the storage OS while their end users continue to access data without error or interruption. Updating the operating system on a cluster is a simple matter of a rolling upgrade. During this process, one node at a time is upgraded to the new code, and the active NFS and SMB3 clients attached to it are automatically migrated to other nodes in the cluster."
What is Recovery Time Objective?,"Recovery Time Objective (RTO) is the allotted amount of time within a Service Level Agreement (SLA) to recover data. For example, an RTO of four hours means data must be restored and made available within four hours of an outage."
